answer,J2 total,J2 average
Chicago,135.0,989.6296296296297
Australia,131.0,1016.7938931297709
Brazil,96.0,1133.3333333333333
South Africa,91.0,1134.065934065934
Georgia,84.0,1285.7142857142858
the Philippines,67.0,1367.1641791044776
Algeria,46.0,1373.9130434782608
Finland,44.0,1472.7272727272727
Andrew Jackson,35.0,1485.7142857142858
Malta,34.0,1576.4705882352941
George Sand,25.0,1584.0
the Orinoco,21.0,1600.0
Tonga,20.0,1700.0
Ghana,17.0,1741.1764705882354
Avignon,16.0,1775.0
Mozambique,15.0,1813.3333333333333
Sikhism,15.0,1813.3333333333333
Aeschylus,13.0,1938.4615384615386
Ganymede,9.0,2000.0
