answer,count,count,count,count,count
China,111.0,46.0,33.0,27.0,10.0
Japan,87.0,43.0,46.0,21.0,15.0
France,85.0,47.0,42.0,32.0,23.0
Australia,81.0,57.0,45.0,48.0,19.0
Paris,77.0,43.0,32.0,22.0,17.0
California,74.0,42.0,28.0,17.0,13.0
Mexico,73.0,46.0,29.0,31.0,14.0
Cleopatra,70.0,28.0,10.0,8.0,7.0
Spain,68.0,54.0,40.0,32.0,25.0
London,67.0,35.0,21.0,17.0,13.0
Alaska,67.0,32.0,24.0,14.0,10.0
Ireland,67.0,41.0,26.0,20.0,13.0
Italy,66.0,41.0,37.0,36.0,15.0
India,64.0,55.0,39.0,31.0,30.0
Chicago,62.0,57.0,35.0,29.0,24.0
Canada,57.0,39.0,40.0,24.0,15.0
George Washington,56.0,25.0,12.0,8.0,5.0
Hawaii,55.0,33.0,17.0,15.0,10.0
Florida,52.0,23.0,24.0,34.0,14.0
Egypt,52.0,43.0,21.0,26.0,22.0
Napoleon,51.0,37.0,30.0,13.0,5.0
Rome,51.0,37.0,14.0,8.0,6.0
Julius Caesar,49.0,32.0,12.0,10.0,6.0
Germany,49.0,34.0,31.0,20.0,18.0
Greece,49.0,29.0,34.0,26.0,15.0
Russia,48.0,33.0,25.0,21.0,18.0
Philadelphia,48.0,22.0,19.0,14.0,19.0
Michelangelo,47.0,24.0,24.0,6.0,2.0
New York,45.0,33.0,31.0,19.0,12.0
New Orleans,44.0,26.0,23.0,9.0,10.0
Joan of Arc,43.0,19.0,14.0,5.0,2.0
Mars,43.0,27.0,22.0,14.0,6.0
Boston,41.0,26.0,20.0,21.0,18.0
Brazil,39.0,33.0,33.0,34.0,33.0
Cuba,39.0,27.0,24.0,24.0,13.0
Switzerland,39.0,29.0,26.0,31.0,16.0
Abraham Lincoln,38.0,31.0,17.0,9.0,8.0
Mark Twain,38.0,17.0,8.0,7.0,11.0
Venice,38.0,31.0,29.0,20.0,13.0
Scotland,37.0,33.0,26.0,13.0,6.0
South Africa,37.0,41.0,32.0,32.0,24.0
Berlin,37.0,26.0,11.0,14.0,10.0
San Francisco,37.0,28.0,22.0,13.0,15.0
Hamlet,36.0,37.0,23.0,14.0,4.0
Washington,36.0,20.0,11.0,17.0,11.0
Alexander the Great,36.0,17.0,16.0,8.0,3.0
Dublin,36.0,14.0,14.0,4.0,5.0
Ronald Reagan,35.0,28.0,16.0,15.0,3.0
Columbus,35.0,6.0,5.0,5.0,2.0
Romeo and Juliet,35.0,5.0,5.0,7.0,2.0
Antarctica,34.0,21.0,14.0,13.0,7.0
Venus,34.0,39.0,17.0,15.0,5.0
Agatha Christie,34.0,17.0,11.0,6.0,
Poland,34.0,29.0,27.0,25.0,26.0
Texas,33.0,36.0,32.0,24.0,20.0
the Nile,33.0,13.0,8.0,3.0,4.0
gold,33.0,17.0,9.0,4.0,7.0
Virginia,33.0,36.0,19.0,21.0,15.0
Shakespeare,33.0,12.0,3.0,5.0,3.0
water,33.0,21.0,10.0,2.0,3.0
Athens,32.0,15.0,18.0,16.0,7.0
Stephen King,32.0,19.0,11.0,2.0,1.0
Massachusetts,32.0,15.0,20.0,18.0,20.0
Sweden,32.0,29.0,45.0,40.0,28.0
the Thames,32.0,8.0,3.0,3.0,3.0
Vienna,32.0,23.0,24.0,13.0,13.0
Moscow,32.0,21.0,11.0,9.0,2.0
Beethoven,32.0,23.0,22.0,11.0,7.0
Africa,31.0,22.0,15.0,8.0,4.0
Churchill,31.0,10.0,9.0,3.0,1.0
Marco Polo,31.0,10.0,7.0,4.0,
Thomas Jefferson,31.0,30.0,28.0,19.0,11.0
Greenland,31.0,21.0,16.0,5.0,4.0
the Mississippi,31.0,13.0,4.0,5.0,2.0
tea,31.0,16.0,4.0,1.0,2.0
the Louvre,31.0,3.0,5.0,5.0,
Mozart,30.0,27.0,30.0,13.0,6.0
Cairo,30.0,15.0,8.0,4.0,6.0
Picasso,30.0,31.0,19.0,7.0,4.0
Lincoln,29.0,26.0,13.0,4.0,5.0
Israel,29.0,29.0,22.0,11.0,11.0
Christopher Columbus,29.0,12.0,3.0,3.0,1.0
Henry VIII,29.0,19.0,20.0,21.0,5.0
Paul Revere,29.0,13.0,4.0,5.0,2.0
Portugal,28.0,23.0,36.0,29.0,32.0
Benjamin Franklin,28.0,24.0,13.0,10.0,5.0
the Amazon,28.0,18.0,7.0,3.0,3.0
Tokyo,28.0,13.0,8.0,7.0,3.0
Moses,27.0,23.0,8.0,9.0,2.0
Peter Pan,27.0,14.0,1.0,4.0,2.0
Macbeth,27.0,34.0,16.0,15.0,12.0
